,Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
49803,Sudan,SDN,2019,4.6169,4230.835,43232092.0,
50062,Suriname,SUR,2019,2.3942,14480.707,600305.0,
50374,Sweden,SWE,2019,1.7173,52433.336,10267922.0,
50633,Switzerland,CHE,2019,1.4875,75298.82,8575593.0,
50892,Syria,SYR,2019,2.8353,7210.547,20098252.0,
51151,Taiwan,TWN,2019,1.0871,46761.25,23777742.0,
51410,Tajikistan,TJK,2019,3.2811,3893.754,9337008.0,
51669,Tanzania,TZA,2019,4.864,2358.761,59872584.0,
51928,Thailand,THA,2019,1.3523,17116.309,71307768.0,
52187,Togo,TGO,2019,4.3851,2235.2266,8243093.0,
52774,Trinidad and Tobago,TTO,2019,1.6431,28643.447,1519960.0,
53018,Tunisia,TUN,2019,2.1477,11090.384,12049319.0,
53277,Turkey,TUR,2019,1.9665,26947.576,83481688.0,
53536,Turkmenistan,TKM,2019,2.7401,26026.03,6158424.0,
54355,Uganda,UGA,2019,4.8092,2092.1492,42949076.0,
54614,Ukraine,UKR,2019,1.2289,13144.867,44211100.0,
54873,United Arab Emirates,ARE,2019,1.3337,66112.72,9211660.0,
55132,United Kingdom,GBR,2019,1.6292,44274.957,66778660.0,
55391,United States,USA,2019,1.6892,62589.0,334319680.0,
56022,Uruguay,URY,2019,1.5462,20545.422,3428412.0,
57270,Vietnam,VNM,2019,1.9481,7506.817,95776712.0,
57989,Yemen,YEM,2019,3.9626,1777.2511,31546694.0,
58374,Zambia,ZMB,2019,4.4509,3179.1958,18380478.0,
58634,Zimbabwe,ZWE,2019,3.5994,2787.659,15354606.0,
